predictor,eae,eap,eaa,ebe,ebp,eba,eoe,eop,eoa
ae,1,,0.5,0.95,,0.5,,,
ap,,1,,,0.95,0.5,,0.95,
aa,,0.95,1,,,0.95,,,
be,0.95,0.5,0.5,1,0.95,0.95,0.95,0.95,0.95
bp,0.5,0.95,0.5,,1,0.5,,0.95,
ba,0.95,0.5,0.95,0.95,0.5,1,,0.5,
oe,0.5,0.5,,,0.5,,1,0.95,0.5
op,0.95,0.5,,0.95,0.5,,,1,0.5
oa,,,,,,,0.5,0.5,1
be.oe,0.5,0.5,,0.95,0.95,,0.95,0.5,
ae.be.oe,0.95,,,0.5,,,,,
be.op,0.95,0.5,,0.95,,,,0.95,
ae.be,0.95,,,,,,0.95,,
ae.op,0.95,,,,,,,,
ae.be.op,0.95,,,,,,,,
bp.oe,0.5,,,0.95,,,0.95,,
ap.bp,,0.5,,,,,,,
aa.ba,,,0.95,,,,,,
aa.bp,,,0.5,,,,,,
ae.ba,,,,0.5,,,,,
bp.op,,,,,,,0.95,,
ae.be.oa,,,,,,,,0.5,
